"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","html-keyboard-response","373","838742","0.0-16.0-0.0-1.17","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","374","840767","0.0-16.0-0.0-0.18","1024","","f","","","","","","","","","","","","","key","f","16.649867768594724","960","536","f","true","img/H_28.png","朋友","prac_friend","","生人"
"","","","","","html-keyboard-response","375","841068","0.0-16.0-0.0-1.18","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","376","843427","0.0-16.0-0.0-0.19","1356","","j","","","","","","","","","","","","","key","j","16.64841843971649","960","536","j","true","img/S_28.png","生人","prac_friend","","朋友"
"","","","","","html-keyboard-response","377","843729","0.0-16.0-0.0-1.19","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","378","845378","0.0-16.0-0.0-0.20","647","","k","","","","","","","","","","","","","key","k","16.65113265306109","960","536","k","true","img/S_28.png","朋友","prac_friend","","朋友"
"","","","","","html-keyboard-response","379","845679","0.0-16.0-0.0-1.20","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","380","847665","0.0-16.0-0.0-0.21","983","","d","","","","","","","","","","","","","key","d","16.649296610170218","960","536","f","false","img/C_28.png","生人","prac_friend","","自我"
"","","","","","html-keyboard-response","381","847966","0.0-16.0-0.0-1.21","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","382","850203","0.0-16.0-0.0-0.22","1236","","d","","","","","","","","","","","","","key","d","16.649686567163887","960","536","d","true","img/H_28.png","生人","prac_friend","","生人"
